,Unnamed: 0,RUN,AverageLogRT,PercentFast
0,0,Run2,-0.0312834162098554,0.0
1,1,Run3,0.0102383771556528,0.0
2,2,Run4,-0.0524521588800752,0.0
3,3,Run5,-0.0422194682445521,5.0
4,4,Run6,-0.0457181590083691,0.0
5,5,Run7,-0.0061482256683721,0.0
6,6,Run8,-0.0253243244005203,0.0
7,7,Run9,-0.0063186567283388,0.0
8,8,Run11,-0.1609205342893679,17.77777777777778
9,9,Run12,-0.1410705030256494,13.953488372093023
10,10,Run14,-0.0876794581730348,2.272727272727273
11,11,Run15,-0.0139650824398914,0.0
12,12,Run16,-0.06060643964645,0.0
13,13,Run17,-0.0107886860970722,0.0
14,14,Run18,-0.1339543284517639,10.869565217391305
15,15,Run19,-0.0677514270284993,5.555555555555555
16,16,Run20,-0.0629158700482188,5.128205128205129
17,17,Run21,-0.0413857611927781,3.4482758620689653
18,18,Run23,0.2751384277892749,0.0
19,19,Run24,0.2003886676076668,0.0
20,20,Run26,-0.1159379380211233,5.0
21,21,Run27,-0.1569681191451375,8.51063829787234
22,22,Run28,-0.2505508929563936,25.0
23,23,Run29,-0.1152597765128444,0.0
24,24,Run30,-0.0748460502789238,6.0606060606060606
25,25,Run31,-0.1558843054949933,13.513513513513514
26,26,Run32,0.1914083978983192,0.0
27,27,Run33,0.1803974556642192,0.0
28,28,Run35,0.186646530169377,0.0
29,29,Run36,0.1565394534629835,0.0
