,Unnamed: 0,RUN,AverageLogRT,PercentFast
0,0,Run2,-0.0833104153806169,0.0
1,1,Run3,-0.0091091806888065,0.0
2,2,Run4,0.0371086688376672,0.0
3,3,Run5,0.0197096669844585,0.0
4,4,Run6,0.0479587574614591,0.0
5,5,Run7,0.0252819413401505,0.0
6,6,Run8,0.0026017220546339,0.0
7,7,Run9,-0.0107565340398512,0.0
8,8,Run11,-0.0276812823178968,0.0
9,9,Run12,-0.0017850649299353,0.0
10,10,Run14,0.0230984368999996,0.0
11,11,Run15,-0.0459728295469218,0.0
12,12,Run16,-0.0632969225406206,5.882352941176471
13,13,Run17,-0.0105045169773423,5.405405405405405
14,14,Run18,-0.0289903101008762,0.0
15,15,Run19,-0.0182316976914197,0.0
16,16,Run20,-0.0071807124063101,0.0
17,17,Run21,-0.0725485238933138,0.0
18,18,Run23,-0.0204388322222388,0.0
19,19,Run24,-0.0196910870021707,4.3478260869565215
20,20,Run26,-0.0179048055205933,0.0
21,21,Run27,-0.0656897237335106,1.7241379310344827
22,22,Run28,-0.0340440372322026,1.8181818181818181
23,23,Run29,-0.0646379584136387,1.7241379310344827
24,24,Run30,0.0462286148526942,0.0
25,25,Run31,-0.089325778527905,1.5873015873015872
26,26,Run32,-0.1259267207397991,13.636363636363637
27,27,Run33,-0.1261248652724925,16.666666666666668
28,28,Run35,-0.1570469591182963,33.333333333333336
29,29,Run36,-0.1394459861663368,25.423728813559322
