,Unnamed: 0,RUN,AverageLogRT,PercentFast
0,0,Run2,-0.0516809858142125,0.0
1,1,Run3,-0.0671092845924878,0.0
2,2,Run4,-0.1315936107280636,3.3333333333333335
3,3,Run5,-0.1133140150515964,5.172413793103448
4,4,Run6,-0.1404675653932469,4.918032786885246
5,5,Run7,-0.1304095351114736,8.474576271186441
6,6,Run8,-0.0679237454202986,1.9230769230769231
7,7,Run9,-0.1226335893630934,12.068965517241379
8,8,Run11,-0.0945860774729449,7.2727272727272725
9,9,Run12,-0.1553663975965782,9.67741935483871
10,10,Run14,-0.0612090724258921,1.9230769230769231
11,11,Run15,-0.1286929330851384,3.4482758620689653
12,12,Run16,-0.0919134928687857,5.357142857142857
13,13,Run17,-0.0981244507578731,0.0
14,14,Run18,-0.1498301273999211,1.6129032258064515
15,15,Run19,-0.1121489521206916,7.142857142857143
16,16,Run20,-0.2130756446311229,29.23076923076923
17,17,Run21,-0.1107875654572391,3.7037037037037037
18,18,Run23,-0.0019701982054436,2.1739130434782608
19,19,Run24,-0.1409598645587943,11.666666666666666
20,20,Run26,-0.1180728689029905,1.7241379310344827
21,21,Run27,-0.0760951845468427,0.0
22,22,Run28,-0.1829599199016137,17.1875
23,23,Run29,-0.2305640659621253,38.23529411764706
24,24,Run30,-0.0954579383929898,4.0
25,25,Run31,-0.161201974969267,15.686274509803921
26,26,Run32,-0.1056539123722218,3.9215686274509802
27,27,Run33,-0.0860920549933504,7.407407407407407
28,28,Run35,-0.0966669847283899,9.25925925925926
29,29,Run36,-0.1081586018512253,5.357142857142857
