,Unnamed: 0,RUN,AverageLogRT,PercentFast
0,0,Run2,0.0085965000464507,0.0
1,1,Run3,-0.0610761635092872,0.0
2,2,Run4,-0.0900189715465205,4.109589041095891
3,3,Run5,-0.1144327790543392,6.666666666666667
4,4,Run6,-0.140884758632465,10.256410256410257
5,5,Run7,-0.1048010655470228,8.219178082191782
6,6,Run8,-0.1837784378448923,22.89156626506024
7,7,Run9,-0.2124256565976825,39.53488372093023
8,8,Run11,-0.1478865602772773,12.658227848101266
9,9,Run12,-0.1599818965647324,27.848101265822784
10,10,Run14,-0.2291791237253063,37.362637362637365
11,11,Run15,-0.3353998144666589,77.77777777777777
12,12,Run16,-0.3753763375116117,84.31372549019608
13,13,Run17,-0.4031289937700082,88.28828828828829
14,14,Run18,-0.3642148981676817,75.65217391304348
15,15,Run19,-0.4182846283353361,87.87878787878788
16,16,Run20,-0.4432049556839924,88.69565217391305
17,17,Run21,-0.3923384497167513,86.66666666666667
18,18,Run23,-0.2979380945469425,65.97938144329896
19,19,Run24,-0.428948505307842,82.82828282828282
20,20,Run26,-0.2179143046569212,49.494949494949495
21,21,Run27,-0.3885998217632058,80.0
22,22,Run28,-0.4243816732290149,88.28125
23,23,Run29,-0.4548929852134147,89.92248062015504
24,24,Run30,-0.353758459767259,80.46875
25,25,Run31,-0.4207002118916714,86.06557377049181
26,26,Run32,-0.4536097281368706,91.54929577464789
27,27,Run33,-0.4729792208306323,92.4812030075188
28,28,Run35,-0.3702045134043562,82.82828282828282
29,29,Run36,-0.4187896732908578,87.09677419354838
