,AvgNormLogRTVertexBlock1,AvgNormLogRTVertexBlock2,AvgNormLogRTVertexBlock3,AvgNormLogRTVertexBlock1_2,AvgRandomLogRTVertexBlock1,AvgRandomLogRTVertexBlock2,AvgRandomLogRTVertexBlock3,AvgRandomLogRTVertexBlock1_2,AvgNormLogRTShamBlock1,AvgNormLogRTShamBlock2,AvgNormLogRTShamBlock3,AvgNormLogRTShamBlock1_2,AvgRandomLogRTShamBlock1,AvgRandomLogRTShamBlock2,AvgRandomLogRTShamBlock3,AvgRandomLogRTShamBlock1_2,AvgNormLogRTAnodBlock1,AvgNormLogRTAnodBlock2,AvgNormLogRTAnodBlock3,AvgNormLogRTAnodBlock1_2,AvgRandomLogRTAnodBlock1,AvgRandomLogRTAnodBlock2,AvgRandomLogRTAnodBlock3,AvgRandomLogRTAnodBlock1_2,AvgNormLogRTCathBlock1,AvgNormLogRTCathBlock2,AvgNormLogRTCathBlock3,AvgNormLogRTCathBlock1_2,AvgRandomLogRTCathBlock1,AvgRandomLogRTCathBlock2,AvgRandomLogRTCathBlock3,AvgRandomLogRTCathBlock1_2
JOS,-0.011426477,-0.015333423,0.023469354,-0.01337995,2.768304032,2.774901038,2.749487939,2.771602535,-0.008525022,-0.013326864,-0.007788208,-0.010925943,2.756032162,2.761909172,2.777393045,2.758970667,-0.014837298,-0.003515474,-0.015509867,-0.009176386,2.737313098,2.764697841,2.731772926,2.751005469,4.94E-05,-0.004122705,-0.069082795,-0.002036634,2.856174064,2.814922351,2.824656223,2.835548208
JPL,-0.079938022,-0.100673132,-0.12624638,-0.090305577,2.657113449,2.661737094,2.648284472,2.659425271,-0.005018614,-0.083756361,-0.096913934,-0.044387487,2.702788037,2.680276641,2.660621849,2.691532339,-0.061364458,-0.088672141,-0.201125909,-0.0750183,2.675220595,2.670448639,2.681052556,2.672834617,-0.142831352,-0.253205528,-0.242473208,-0.19801844,2.681845394,2.668819899,2.646652621,2.675332646
JRS,-0.036343644,-0.063440523,-0.098764689,-0.049892084,2.873191881,2.872798336,2.806984423,2.872995109,-0.010355594,-0.075090278,-0.035988929,-0.042722936,2.942970925,2.850233304,2.837214607,2.896602115,0.003859175,-0.056440347,-0.033321461,-0.026290586,2.906970067,2.873496824,2.872628518,2.890233446,-0.025669521,-0.049826295,-0.100294478,-0.037747908,2.851494959,2.844399985,2.859722514,2.847947472
JST,-0.07203062,-0.105562177,-0.133801157,-0.088796398,2.8447438,2.818311478,2.79113998,2.831527639,0.078688411,0.084861505,0.016652956,0.081774958,2.808518229,2.865417799,2.897134249,2.836968014,0.012438328,-0.002059808,-0.053007984,0.00518926,2.829195826,2.83150863,2.830815921,2.830352228,0.010545272,-0.02324677,-0.07480119,-0.006350749,2.877384193,2.873252053,2.875860685,2.875318123
KJA,0.138622735,0.091131726,0.101273023,0.114877231,2.906619246,2.863416753,2.83805067,2.885018,0.113990424,0.012346484,-0.032448564,0.063168454,2.921503956,2.828475691,2.831151447,2.874989823,-0.066606292,0.192180738,-0.032642921,0.062787223,2.825915476,2.914453977,2.851153779,2.870184726,0.02787415,-0.068287061,-0.028326839,-0.020206456,2.895741617,2.875632196,2.860120275,2.885686907
MEL,-0.130948039,-0.390158194,-0.412954276,-0.260553117,2.683415797,2.590268815,2.623849194,2.636842306,-0.082646163,-0.225438931,-0.274503778,-0.154042547,2.692436325,2.663240424,2.683155079,2.677838374,-0.10457236,-0.295104547,-0.345241376,-0.199838453,2.708194734,2.658575853,2.670085638,2.683385293,-0.139840032,-0.337504553,-0.336591437,-0.238672293,2.685240278,2.65904816,2.675291887,2.672144219
MMD,-0.06247838,-0.053075997,-0.066752775,-0.057777189,2.702699695,2.775963845,2.738801473,2.73933177,-0.006726671,-0.014048924,-0.058610729,-0.010387798,2.828290917,2.783310993,2.772152707,2.805800955,-0.027859269,-0.064497325,-0.021972389,-0.046178297,2.809567703,2.797333012,2.744865055,2.803450358,-0.033170106,-0.05506131,-0.04596832,-0.044115708,2.788523075,2.736119647,2.777630535,2.762321361
MWG,-0.047951794,-0.074992732,-0.09573794,-0.061472263,2.842758373,2.800150893,2.804714501,2.821454633,0.011991645,0.002104135,-0.008331244,0.00704789,2.870625146,2.838787275,2.800214179,2.85470621,0.003981348,-0.037752626,-0.038041638,-0.016885639,2.893494908,2.86808543,2.857465116,2.880790169,0.018008584,0.001090457,-0.028573423,0.00954952,,2.818927645,2.809504466,
REC,-0.259254965,-0.412034191,-0.339428861,-0.335644578,2.628560608,2.623892895,2.525333011,2.626226752,-0.336072996,-0.40118416,-0.310209425,-0.368628578,2.648112828,2.56352649,2.52078726,2.605819659,-0.216302732,-0.430554375,-0.440651862,-0.323428553,2.669356923,2.588022849,2.631535582,2.628689886,-0.210268159,-0.406886775,-0.360442373,-0.308577467,2.667296248,2.639457517,2.579005886,2.653376882
VGC,0.008708413,-0.028286723,-0.048893754,-0.009789155,2.979200037,3.005001616,2.996071289,2.992100826,0.072222912,-0.047324068,-0.11043389,0.012449422,2.971807854,2.816880539,2.828543901,2.894344197,-0.085890879,-0.088446539,-0.086021351,-0.087168709,2.994601412,2.956678367,2.921375243,2.975639889,0.009170667,-0.171610771,-0.196421507,-0.081220052,2.961498898,2.798778716,2.824380805,2.880138807
ZXR,0.003961903,0.006023079,-0.015986925,0.004992491,2.967849546,2.982048511,2.939334038,2.974949029,0.011709423,0.018980902,-0.018706321,0.015345162,2.941826556,2.936752534,2.987693711,2.939289545,0.028048383,-0.001588846,-0.028808553,0.013229769,2.982488038,2.960861508,2.98348415,2.971674773,-0.007819818,-9.79E-05,0.0555061,-0.003958844,2.956483624,,2.906710643,
5796,,,,,,,,,0.00500321,-0.015076055,-0.009347352,-0.005036423,2.763085115,2.750509381,2.754289944,2.756797248,-0.043127275,-0.031502972,-0.045082912,-0.037315124,2.744526995,2.735933433,2.742264616,2.740230214,-0.026449816,-0.053276497,-0.042778793,-0.039863156,2.801279795,2.730990263,2.740343201,2.766135029
5845,-0.020568815,-0.015021741,-0.018783008,-0.017795278,2.707156665,2.754228632,2.712006607,2.730692649,-0.05158916,-0.038756101,-0.027008999,-0.04517263,2.744916123,2.747037173,2.690033245,2.745976648,-0.012834356,-0.006449403,-0.035873138,-0.00964188,2.77357714,2.77194303,2.759588694,2.772760085,-0.042109723,-0.017654427,-0.019164031,-0.029882075,2.794448171,2.805364486,2.755043602,2.799906328
5923,-0.108437159,-0.204290504,,-0.156363832,2.777284324,2.80930617,,2.793295247,-0.030006453,-0.076299585,0.019398955,-0.053153019,2.746040923,2.731099997,2.743403237,2.73857046,-0.017765219,-0.087931049,-0.015314746,-0.052848134,2.819548325,2.826134136,2.738829701,2.82284123,0.016507415,-0.029712495,-0.029349146,-0.00660254,2.868791393,2.863190572,2.882784331,2.865990982
5927,0.009447588,0.038598149,-0.016373721,0.024022869,2.841646852,2.851399257,2.829937695,2.846523055,0.07925487,0.010634334,0.005317866,0.044944602,2.847678608,2.816814675,2.838982726,2.832246641,-0.001246433,-0.002600012,0.102618504,-0.001923222,2.838977944,2.8607171,2.779929505,2.849847522,-0.02656084,0.036665059,-0.025126089,0.00505211,2.776202664,2.85600194,2.799116156,2.816102302
5925,,,,,,,,,-0.03378445,-0.014522005,-0.036724648,-0.024153228,2.792253693,2.791884175,2.765441788,2.792068934,,,,,,,,,-0.070104118,-0.134287867,,-0.102195993,2.795059119,2.818416763,,2.806737941
EJC,-0.127922198,-0.102481131,-0.127848972,-0.115201665,2.71662392,2.70874817,2.727320121,2.712686045,-0.107508481,-0.11087123,-0.126092351,-0.109189855,2.734525119,,2.740282126,,,,,,,,,,,,,,,,,
AAF,0.045075569,-0.038796202,-0.044651769,0.003139683,2.783295958,2.727215458,2.727215426,2.755255708,0.045874643,-0.055451228,-0.06334264,-0.004788292,2.823919704,2.770080603,2.796454123,2.797000153,0.039514715,0.025565636,-0.042649256,0.032540176,2.808437282,2.820391371,2.730832497,2.814414327,-0.047125183,-0.062062143,-0.082059064,-0.054593663,2.769551894,2.791328354,2.734668762,2.780440124
AVB,-0.136567885,-0.164359604,-0.137694046,-0.150463744,2.775860465,2.735286664,2.72837108,2.755573564,-0.010207873,-0.083745877,-0.098773942,-0.046976875,2.761642377,2.734585749,2.716374002,2.748114063,-0.092003943,-0.154653973,-0.157022602,-0.123328958,2.752055314,2.69927375,2.69050314,2.725664532,-0.064291313,-0.125507521,-0.206728171,-0.094899417,2.780032151,2.755307222,2.746866667,2.767669686
CRB,-0.049132059,-0.08553775,-0.129394788,-0.067334905,2.791217572,2.775392316,2.743975649,2.783304944,-0.052798655,-0.093639433,-0.141455788,-0.073219044,2.786663889,2.795744318,2.77788474,2.791204104,-0.060414003,-0.037369579,-0.11528381,-0.048891791,2.840191071,2.860046603,2.79705,2.850118837,-0.0535614,-0.032431204,-0.106783265,-0.042996302,2.797788862,2.837208056,2.775107143,2.817498459
DLC,-0.01159311,-0.042823921,-0.076899978,-0.027208515,2.849639048,2.804702791,2.802711806,2.827170919,-0.034314505,-0.06436046,-0.11156853,-0.049337482,2.743963194,2.758916996,2.73881746,2.751440095,-0.05175749,-0.039529037,-0.103588035,-0.045643263,2.771476867,2.78796748,2.761321463,2.779722174,-0.022695187,-0.031284357,-0.099593561,-0.026989772,2.767716162,2.801945183,2.798876812,2.784830672
DSL,-0.20029344,-0.321708113,-0.346918325,-0.261000776,2.707183673,2.698158627,2.713489796,2.70267115,-0.04856463,-0.187820219,-0.262044657,-0.118192424,2.718447619,2.706152917,2.678162037,2.712300268,-0.261657895,-0.331906535,-0.348769573,-0.296782215,2.707167758,2.747561625,2.667877708,2.727364691,-0.014819811,-0.101654397,-0.216256844,-0.058237104,2.715920503,2.741357623,2.672012222,2.728639063
EGW,,,,,,,,,-0.02762426,-0.067441471,-0.134598495,-0.047532866,2.767462121,2.781618012,2.763696032,2.774540067,-0.236020687,-0.466229062,-0.562129899,-0.351124875,2.727019362,2.743571191,2.709397436,2.735295276,-0.296012457,-0.357616013,-0.422155099,-0.326814235,2.700142268,2.672965812,2.665120755,2.68655404
FRF,-0.03444701,-0.057384259,-0.133203678,-0.045915634,2.790619792,2.811742706,2.703777778,2.801181249,-0.168632534,-0.254225732,-0.325468497,-0.211429133,2.664487374,2.689932422,2.662150412,2.677209898,-0.216451802,-0.21812246,-0.297487146,-0.217287131,2.661472727,2.651785441,2.625862879,2.656629084,-0.087815647,-0.189089871,-0.237331569,-0.138452759,2.749771739,2.738740942,2.699858077,2.744256341
IXD,,,,,,,,,-0.128879054,-0.340300889,-0.41102584,-0.234589971,2.678262727,2.6204485,2.584687335,2.649355614,-0.17108803,-0.317663898,-0.354127582,-0.244375964,2.652389208,2.631293564,2.609282462,2.641841386,-0.109402305,-0.35418393,-0.407629514,-0.231793117,2.649536894,2.616650312,2.574934253,2.633093603
JAF,-0.33501319,-0.434096191,-0.39634901,-0.384554691,2.628578947,2.572009848,2.521544465,2.600294398,-0.187007647,-0.334266783,-0.369980669,-0.260637215,2.597762634,2.581157866,2.547835417,2.58946025,-0.201030387,-0.374803566,-0.408624081,-0.287916977,2.632802178,2.572013226,2.552834613,2.602407702,-0.225303778,-0.396628168,-0.420913551,-0.310965973,2.657814116,2.640815476,2.570687013,2.649314796
