,RUN,AverageLogRT
0,Run1,2.793956657072148
1,Run2,2.8487059199134053
2,Run3,2.9066520793618333
3,Run4,2.9277127096114057
4,Run5,2.9849288592161978
5,Run6,2.8531342104816546
6,Run7,2.980381543824453
7,Run8,2.948782498876735
8,Run9,2.9249473254453195
9,Run10,2.8509430235002227
10,Run11,2.891681151862147
11,Run12,2.913064329840955
12,Run13,2.8238789007983027
13,Run14,2.889881652424196
14,Run15,2.9650653071777895
15,Run16,2.953948592500162
16,Run17,2.9870867486796495
17,Run18,2.8462222085717506
18,Run19,2.8886596435568674
19,Run20,2.8173420426716334
20,Run21,2.943147552944156
21,Run22,2.874220166500982
22,Run23,2.8903767031231045
23,Run24,2.9403695951315543
24,Run25,2.8180373858789345
25,Run26,2.821125964108881
26,Run27,2.839979981694985
27,Run28,2.8534733172543443
28,Run29,2.883713480295838
29,Run30,2.9376715680792875
30,Run31,2.936526821185296
31,Run32,2.9429012739119433
32,Run33,2.915957606481829
33,Run34,2.925014118227213
34,Run35,2.9301860832113107
35,Run36,2.9527827157541124
