,RUN,AverageLogRT
0,Run1,2.77154347826087
1,Run2,2.734829787234043
2,Run3,2.694833333333333
3,Run4,2.6891568627450972
4,Run5,2.7133800000000003
5,Run6,2.728361702127659
6,Run7,2.7577111111111114
7,Run8,2.7693902439024396
8,Run9,2.7109183673469395
9,Run10,2.771410256410256
10,Run11,2.7204583333333336
11,Run12,2.7577111111111106
12,Run13,2.762666666666667
13,Run14,2.7732954545454542
14,Run15,2.8362352941176465
15,Run16,2.7117954545454555
16,Run17,2.6909787234042555
17,Run18,2.7259148936170208
18,Run19,2.70330612244898
19,Run20,2.6669799999999997
20,Run21,2.6958431372549025
21,Run22,2.8132682926829258
22,Run23,2.769795454545455
23,Run24,2.8254687499999998
24,Run25,2.7472708333333333
25,Run26,2.6856730769230768
26,Run27,2.657672727272727
27,Run28,2.670169811320755
28,Run29,2.642928571428571
29,Run30,2.6658518518518513
30,Run31,2.656074074074074
31,Run32,2.610745762711864
32,Run33,2.634736842105262
33,Run34,2.775372093023256
34,Run35,2.7268333333333334
35,Run36,2.618689655172413
