,RUN,AverageLogRT
0,Run1,2.6332456140350877
1,Run2,2.6487499999999997
2,Run3,2.630561403508772
3,Run4,2.6269629629629634
4,Run5,2.5761904761904764
5,Run6,2.5566190476190473
6,Run7,2.486388888888889
7,Run8,2.464346666666667
8,Run9,2.474819444444444
9,Run10,2.7271818181818177
10,Run11,2.4974142857142856
11,Run12,2.5423125000000004
12,Run13,2.6402678571428573
13,Run14,2.5683225806451615
14,Run15,2.506246376811595
15,Run16,2.584896551724138
16,Run17,2.4935352112676057
17,Run18,2.578690909090909
18,Run19,2.652407407407407
19,Run20,2.5280666666666667
20,Run21,2.4567183098591547
21,Run22,2.7425128205128204
22,Run23,2.683675675675676
23,Run24,2.565843137254902
24,Run25,2.640035714285714
25,Run26,2.4930985915492956
26,Run27,2.3755833333333336
27,Run28,2.379654761904762
28,Run29,2.3282333333333334
29,Run30,2.415910256410256
30,Run31,2.423026666666667
31,Run32,2.4534594594594594
32,Run33,2.456111111111111
33,Run34,2.6430535714285717
34,Run35,2.42526582278481
35,Run36,2.325967032967033
