,RUN,AverageLogRT
0,Run1,2.6603636363636363
1,Run2,2.642735849056604
2,Run3,2.6043389830508477
3,Run4,2.435822784810127
4,Run5,2.4080731707317073
5,Run6,2.3681249999999996
6,Run7,2.552859375
7,Run8,2.575838709677419
8,Run9,2.3734
9,Run10,2.6686111111111113
10,Run11,2.6084067796610166
11,Run12,2.507808823529412
12,Run13,2.670905660377359
13,Run14,2.44312987012987
14,Run15,2.4998873239436623
15,Run16,2.3156210526315792
16,Run17,2.5979833333333335
17,Run18,2.3103297872340427
18,Run19,2.361178571428571
19,Run20,2.5453787878787875
20,Run21,2.3189230769230766
21,Run22,2.7089591836734694
22,Run23,2.4850958904109586
23,Run24,2.343977011494253
24,Run25,2.650089285714286
25,Run26,2.3059468085106385
26,Run27,2.2375252525252525
27,Run28,2.3230303030303032
28,Run29,2.4007654320987655
29,Run30,2.3631976744186045
30,Run31,2.319296703296703
31,Run32,2.3766190476190476
32,Run33,2.3073333333333332
33,Run34,2.6742115384615386
34,Run35,2.406545454545454
35,Run36,2.321591397849463
