,AVB_Anod_CONTROL_AveargeRunLogRTs,TXM_Anod_CONTROL_AveargeRunLogRTs,SRH_Anod_CONTROL_AveargeRunLogRTs,CRB_Anod_CONTROL_AveargeRunLogRTs,VXE_Anod_CONTROL_AveargeRunLogRTs,EGW_Anod_CONTROL_AveargeRunLogRTs,MTG_Anod_CONTROL_AveargeRunLogRTs,JEC_Anod_CONTROL_AveargeRunLogRTs,STF_Anod_CONTROL_AveargeRunLogRTs,MAM_Anod_CONTROL_AveargeRunLogRTs,DLC_Anod_CONTROL_AveargeRunLogRTs,JAF_Anod_CONTROL_AveargeRunLogRTs,VXP_Anod_CONTROL_AveargeRunLogRTs,AAF_Anod_CONTROL_AveargeRunLogRTs,LOW_Anod_CONTROL_AveargeRunLogRTs,JSH_Anod_CONTROL_AveargeRunLogRTs,FRF_Anod_CONTROL_AveargeRunLogRTs,IXD_Anod_CONTROL_AveargeRunLogRTs,RJO_Anod_CONTROL_AveargeRunLogRTs,DSL_Anod_CONTROL_AveargeRunLogRTs,RID_Anod_CONTROL_AveargeRunLogRTs,GroupAvgLogRT
0,2.765088888888889,2.663642857142857,2.6235666666666675,2.8309249999999992,2.6535964912280696,2.7180599999999995,2.700212765957447,2.6975,2.625400000000001,2.663127272727273,2.77154347826087,2.6325517241379317,2.8155365853658534,2.8177317073170727,2.6852407407407406,2.7418125,2.670145454545454,2.646741379310344,2.7221224489795923,2.6818461538461547,2.6415344827586207,2.7032345998987535
1,2.67366037735849,2.604283333333333,2.5846290322580647,2.788238095238095,2.6453392857142872,2.6690566037735843,2.712870967741935,2.6775471698113207,2.598131147540984,2.597737704918033,2.734829787234043,2.5521818181818188,2.7543695652173907,2.819972972972973,2.736760869565217,2.7277916666666666,2.533369230769231,2.5800634920634917,2.7595000000000005,2.6228363636363645,2.661462962962963,2.6683158308075376
2,2.6530363636363647,2.603883333333333,2.5113380281690145,2.7546521739130427,2.6245000000000003,2.6575454545454544,2.696954545454545,2.63259649122807,2.5501818181818185,2.6044426229508195,2.694833333333333,2.526202898550724,2.707,2.8901428571428567,2.6992127659574474,2.7571333333333343,2.390780487804878,2.546791044776119,2.7440434782608696,2.4501466666666665,2.55186153846154,2.63082282074763
3,2.6180350877192984,2.564187500000001,2.483315068493149,2.7667333333333333,2.6044499999999995,2.6185762711864404,2.708966666666666,2.6500909090909093,2.535558823529412,2.587852459016394,2.689156862745097,2.4836849315068483,2.70584,2.8588648648648647,2.7314761904761906,2.7796944444444445,2.5239677419354845,2.5284057971014504,2.7185306122448973,2.3697209302325573,2.510549295774649,2.6208408471600997
4,2.618103448275864,2.5469696969696978,2.42795,2.7821395348837217,2.618559322033898,2.565312500000001,2.6285294117647062,2.6658113207547176,2.5084637681159427,2.6052068965517248,2.7133800000000003,2.3720574712643683,2.6672592592592594,2.7625952380952383,2.68425,2.796189189189188,2.405558441558441,2.5208840579710152,2.734108695652173,2.4286666666666665,2.44325641025641,2.595011968060144
5,2.628894736842106,2.5617846153846155,2.4033809523809526,2.778627906976745,2.5748888888888883,2.407113924050632,2.73575,2.6387142857142862,2.5146338028169017,2.5691129032258067,2.728361702127659,2.366505747126436,2.710142857142858,2.9225517241379313,2.753516129032259,2.689871794871795,2.41722972972973,2.508557142857144,2.751139534883721,2.4218333333333333,2.385517241379312,2.5937204263287192
6,2.6269473684210523,2.5174637681159417,2.388282352941176,2.76875,2.576317460317461,2.3063260869565214,2.7764583333333333,2.6709245283018865,2.4623636363636354,2.565593750000001,2.7577111111111114,2.3331505376344093,2.6466481481481487,2.885,2.825,2.7915714285714293,2.465891891891891,2.435481012658228,2.666283018867925,2.4351351351351345,2.342258064516129,2.5830265539659725
7,2.6228148148148156,2.55765625,2.398578313253012,2.746217391304348,2.5980983606557384,2.3558,2.7184090909090908,2.6515636363636377,2.523014492753624,2.58085,2.76939024390244,2.315467391304348,2.657407407407407,2.8784666666666667,2.7855806451612906,2.7341794871794867,2.446493506493507,2.430962025316455,2.683269230769231,2.480415384615384,2.303142857142858,2.5827512950482543
8,2.6482037037037043,2.5471538461538468,2.377643678160919,2.777767441860465,2.5884838709677416,2.441783783783784,2.6950476190476187,2.647436363636363,2.460868421052632,2.536984848484849,2.7109183673469395,2.3575057471264373,2.7814615384615378,2.8961379310344824,2.6679736842105264,2.77684375,2.3520843373493974,2.3693103448275856,2.7283913043478263,2.431243243243243,2.4041707317073167,2.580829264595581
9,2.739021739130435,2.6806346153846157,2.6073220338983054,2.8494571428571427,2.6657777777777794,2.735978723404255,2.7297777777777785,2.7058,2.6470909090909096,2.680725490196078,2.771410256410256,2.6330526315789484,2.809365853658535,2.7991428571428574,2.7759090909090904,2.8403125,2.6528000000000005,2.6580370370370363,2.7998780487804877,2.7324893617021275,2.650109090909091,2.7220996636974153
