,MAM_Vertex_CONTROL_AveargeRunLogRTs,STF_Vertex_CONTROL_AveargeRunLogRTs,JEC_Vertex_CONTROL_AveargeRunLogRTs,VXE_Vertex_CONTROL_AveargeRunLogRTs,LOW_Vertex_CONTROL_AveargeRunLogRTs,DLC_Vertex_CONTROL_AveargeRunLogRTs,AAF_Vertex_CONTROL_AveargeRunLogRTs,CRB_Vertex_CONTROL_AveargeRunLogRTs,FRF_Vertex_CONTROL_AveargeRunLogRTs,TXM_Vertex_CONTROL_AveargeRunLogRTs,SRH_Vertex_CONTROL_AveargeRunLogRTs,VXP_Vertex_CONTROL_AveargeRunLogRTs,JSH_Vertex_CONTROL_AveargeRunLogRTs,MTG_Vertex_CONTROL_AveargeRunLogRTs,AVB_Vertex_CONTROL_AveargeRunLogRTs,RID_Vertex_CONTROL_AveargeRunLogRTs,DSL_Vertex_CONTROL_AveargeRunLogRTs,JAF_Vertex_CONTROL_AveargeRunLogRTs,RJO_Vertex_CONTROL_AveargeRunLogRTs,GroupAvgLogRT
0,2.2442604166666658,2.3468636363636355,2.7100416666666667,2.571015873015874,2.4935352112676052,2.8302,2.7172500000000004,2.764022727272728,2.7030270270270282,2.4109375,2.134688073394495,2.7459333333333333,2.6254999999999997,2.7508484848484853,2.6356862745098053,2.1702393162393157,2.6931372549019605,2.160172413793103,2.3790000000000004,2.5308610110158267
1,2.273021052631578,2.462346666666668,2.599066666666667,2.5913548387096763,2.5848965517241385,2.7989411764705885,2.69246,2.7322708333333323,2.7452647058823527,2.3581379310344817,2.2413727272727275,2.7226875,2.638684210526316,2.7549,2.6982244897959187,2.1494159292035393,2.4424285714285725,2.123741379310345,2.364826666666667,2.5249495735433456
2,2.4037804878048785,2.4274444444444447,2.7315106382978733,2.6134745762711877,2.568322580645161,2.770205128205128,2.789452380952381,2.7783863636363635,2.721,2.4720277777777784,2.293437499999999,2.673000000000001,2.7186938775510208,2.7458823529411767,2.6678913043478265,2.6473750000000007,2.7046530612244903,2.192045454545454,2.6588333333333334,2.6093376979988685
3,2.332863636363637,2.399658536585365,2.5867500000000003,2.5799516129032267,2.5062463768115943,2.7825348837209307,2.7632954545454544,2.7785813953488376,2.78925,2.4543947368421044,2.6108813559322037,2.6166610169491515,2.663462962962965,2.79171052631579,2.7764883720930227,2.593803278688524,2.709714285714286,2.173525252525252,2.389933333333333,2.5947214219808252
4,2.4682638888888886,2.4391794871794867,2.680903846153847,2.6259655172413794,2.4974142857142865,2.8173529411764697,2.7771395348837205,2.6956470588235293,2.7497619047619053,2.5684843750000006,2.1855353535353528,2.721938775510204,2.753695652173913,2.6918999999999995,2.6443773584905648,2.2970103092783507,2.456407894736841,2.1445086206896558,2.646745454545455,2.571696434672834
5,2.6592222222222235,2.4471025641025643,2.6420576923076924,2.6454464285714296,2.7271818181818173,2.9020400000000013,2.7914358974358984,2.7298958333333325,2.7310000000000003,2.4891911764705883,2.168579439252337,2.7036000000000007,2.6896274509803924,2.7498518518518518,2.5551034482758617,2.6107966101694924,2.420910256410256,2.1640347826086948,2.3019047619047623,2.585735907056801
6,2.458520547945205,2.4665999999999992,2.60165,2.7431914893617018,2.5423125000000004,2.8053243243243244,2.6940588235294114,2.7051800000000013,2.815322580645162,2.5561538461538458,2.1851574074074067,2.7365000000000013,2.628631578947368,2.7990555555555563,2.585844827586207,2.3032680412371134,2.442026315789473,2.566716666666668,2.614586206896552,2.592110563791895
7,2.5929152542372886,2.6115084745762704,2.6296491228070167,2.7004400000000004,2.6402678571428573,2.790325581395349,2.7034,2.6992448979591828,2.8239062500000003,2.712434782608696,2.2754020618556696,2.71028,2.6579636363636365,2.7538444444444456,2.6160526315789467,2.1222702702702687,2.355545454545453,2.2221333333333333,2.2890112359550567,2.574031331003867
8,2.609864406779661,2.4386075949367094,2.6030517241379303,2.5936229508196718,2.578690909090909,2.771941176470588,2.7151428571428573,2.712916666666666,2.6919230769230764,2.5044857142857144,2.5383787878787882,2.7520952380952384,2.655648148148148,2.784513513513513,2.593375000000001,2.2087171717171703,2.390320987654321,2.6287894736842112,2.381357142857143,2.5870232916211746
9,2.2773777777777777,2.6047333333333333,2.571741935483871,2.5992711864406792,2.6524074074074067,2.768764705882353,2.7722558139534885,2.6763653846153845,2.776692307692308,2.675711538461538,2.3841058823529417,2.6781538461538466,2.751195652173913,2.7084583333333336,2.550372881355932,2.2127241379310325,2.3190769230769233,2.231121212121211,2.3832916666666666,2.557569575063891
10,2.293077777777778,2.5590461538461535,2.609525423728814,2.668611111111112,2.6332456140350877,2.7972380952380957,2.7244090909090906,2.8040487804878054,2.7573333333333325,2.660055555555556,2.5576923076923066,2.6397500000000003,2.717333333333333,2.8168666666666664,2.7752325581395345,2.168648648648648,2.309804347826087,2.628368421052632,2.349546666666667,2.603675467686774
11,2.3103793103448265,2.3412637362637363,2.3566117647058817,2.577190476190477,2.379654761904762,2.694114285714286,2.6621666666666663,2.568375,2.846793103448277,2.6769615384615393,2.2040404040404042,2.7195319148936163,2.6345178571428574,2.6625740740740733,2.6539807692307686,2.240646464646464,2.6258947368421053,2.1549391304347814,2.2975294117647063,2.505640284566855
