,LOW_Cath_CONTROL_AveargeRunLogRTs,JSH_Cath_CONTROL_AveargeRunLogRTs,FRF_Cath_CONTROL_AveargeRunLogRTs,VXP_Cath_CONTROL_AveargeRunLogRTs,AAF_Cath_CONTROL_AveargeRunLogRTs,DSL_Cath_CONTROL_AveargeRunLogRTs,RID_Cath_CONTROL_AveargeRunLogRTs,RJO_Cath_CONTROL_AveargeRunLogRTs,IXD_Cath_CONTROL_AveargeRunLogRTs,VXE_Cath_CONTROL_AveargeRunLogRTs,MTG_Cath_CONTROL_AveargeRunLogRTs,EGW_Cath_CONTROL_AveargeRunLogRTs,AVB_Cath_CONTROL_AveargeRunLogRTs,CRB_Cath_CONTROL_AveargeRunLogRTs,TXM_Cath_CONTROL_AveargeRunLogRTs,SRH_Cath_CONTROL_AveargeRunLogRTs,JAF_Cath_CONTROL_AveargeRunLogRTs,JEC_Cath_CONTROL_AveargeRunLogRTs,STF_Cath_CONTROL_AveargeRunLogRTs,MAM_Cath_CONTROL_AveargeRunLogRTs,DLC_Cath_CONTROL_AveargeRunLogRTs,GroupAvgLogRT
0,0.002848485777704949,-0.04959936160024274,-0.0037024620676627228,-0.03880401010767917,-0.04020038350787202,0.07129473198519103,-0.12052007106551504,-0.059106287631537524,-0.02423034197917364,-0.02823010199118778,-0.012219931182926157,-0.0008947315748439102,-0.03337370540000966,-0.02696191215962949,-0.02114687906919392,-0.024181241236105686,-0.062395906026328316,-0.003619027982515271,0.008596500046450763,0.02063676953545708,0.010363203867122042,-0.02073555539859511
1,-0.08277620034597577,-0.061197391610707925,-0.035601417597188934,-0.07487340260394842,-0.032601785020031755,0.05031944407613822,-0.17233299183950793,-0.1534280857225222,-0.018616694298549098,-0.050610230721105036,-0.002725546987046494,-0.035215695460736836,-0.051657593958782014,-0.03628011612803926,-0.07479106362811304,-0.27142873472382845,-0.16002317925778395,-0.018008747637762987,-0.06107616350928726,-0.0014662391319240212,0.002382147621264856,-0.06390522326121136
2,-0.18935520562012725,-0.08873388614580657,0.01596938354866229,-0.0983763801840325,-0.04187055968124357,0.009052581748529416,-0.204462695645345,-0.22189792518429952,0.004161868448789032,-0.0645947338065519,0.02232110945617404,-0.16253115072651114,-0.0459443921799198,-0.07783700169917084,-0.11500390531536993,-0.3639915095722227,-0.18478342888517707,-0.036439972422658784,-0.09001897154652053,-0.08767311849050195,-0.020835088404769688,-0.09727833249086067
3,-0.18504754168768311,-0.046605639613750464,-0.0565191348426549,-0.08835697750482073,-0.08497300922223686,-0.033603343573792376,-0.18764000091010366,-0.2830844212254295,-0.10278406544867072,-0.1195028640376148,0.010509755942898285,-0.3534150530922749,-0.03263478251473589,-0.06563788432356046,-0.1017685842207271,-0.3144167359000157,-0.2376518655989026,-0.055033614512214314,-0.11443277905433928,-0.0618485218951001,-0.024221745350031756,-0.12088899088503624
4,-0.21823055306511366,-0.11336262130663677,-0.08296718681263658,-0.0956114903533872,-0.04879493500763203,0.014979842476315184,-0.2699427929875041,-0.27948150473468936,-0.09036796719681044,-0.10591906980330837,-0.11692539717686948,-0.3800559448596734,-0.060644288779388565,-0.0480129989487573,-0.1222899902093037,-0.21467671258747265,-0.2669851657651013,-0.05581137264108652,-0.14088475863246494,-0.11656873051079072,-0.017755291450717452,-0.13477661573109664
5,-0.21711186418453174,-0.10339130333747076,-0.15880282000483995,-0.07874136534303322,-0.08620164815441612,0.0074747682685235295,-0.2411411404940837,-0.2703454631083501,-0.10963511313652242,-0.09620360603923828,0.020100266107286463,-0.4378919380899825,-0.07290238695084557,-0.07031008927662001,-0.10737394131974903,-0.3364688032287397,-0.2680857058645755,-0.049717180424272985,-0.10480106554702284,-0.1465130598984607,-0.017235854181417168,-0.1402523482956363
6,-0.2191985715449692,-0.083468081998733,-0.17470352761485172,-0.08090386915426008,-0.017307278371306814,-0.1059663344759172,-0.27624773051773305,-0.24115512933177094,-0.11500184767659155,-0.11702486590308395,0.02655125368928993,-0.3807999012414565,-0.07584157276386383,-0.09312642289533583,-0.1123554858927666,-0.4099501134335617,-0.2752578894022491,-0.0044836291524546846,-0.1837784378448924,-0.14063544750253976,-0.05161747883760216,-0.14915582675555478
7,-0.253057316234167,-0.08026087803784039,-0.17294219856218854,-0.07529476613979523,-0.040883416250589305,-0.06570842943041844,-0.3385596276831822,-0.29727780691902195,-0.14627662757261042,-0.1436622702358263,0.08556753155687775,-0.38133371481841066,-0.1377932714239967,-0.08094160952393148,-0.10690226333705402,-0.3747479064563261,-0.28030162044165163,-0.08444541569229441,-0.21242565659768245,-0.1417811096612948,-0.03565749868948505,-0.16022313676908995
8,-0.17684921614414525,-0.03307052819589547,-0.11647538798092424,-0.07650334480068259,-0.04273495807292285,-0.0861574807596503,-0.2163143553318232,-0.271499993612443,-0.17232538129796307,-0.05161567377338741,-0.017181855795257113,-0.3409504128613934,-0.0995728188563974,-0.009619496477931037,-0.07994609800275775,-0.3537059285882996,-0.2287146907601938,-0.06669456448702475,-0.14788656027727734,-0.1122123343532738,-0.04353266329171892,-0.1306458925581601
9,-0.26297565515665833,-0.06856450083732697,-0.09241171517483324,-0.07822757047903589,-0.03568385431509915,-0.009883892914719878,-0.2734885260430204,-0.22846406103552055,-0.31894687680388184,-0.07742502650952224,0.038769030986831134,-0.487036026622161,-0.032548320354128184,-0.026886467647745316,-0.11327004411174706,-0.3866651550247449,-0.28883832623741096,-0.09495131950760684,-0.15998189656473247,-0.1826908445350431,-0.02884160397989328,-0.15281012632704766
10,-0.21105421652956108,-0.02061622644793275,-0.20162526026284613,-0.045332743929253884,-0.06003523165945356,-0.08431782914482855,-0.2885552586854842,-0.2072139582062672,-0.2414746286581756,-0.08269936162677048,-0.016890873906232118,-0.04494292104369102,-0.10260287078785182,-0.04407381776702928,-0.14131248377827746,-0.4441663746388325,-0.33448852262489404,-0.09728411761018337,-0.22917912372530644,-0.23377437625841105,-0.026774303122589944,-0.1504006904958987
11,-0.2675103480363181,-0.0946272459212002,-0.21151356316824085,-0.11966841184347625,-0.08159910299301618,-0.13130551992907485,-0.30506776543442665,-0.396940593333203,-0.4270087189765641,-0.12104945995843558,-0.047003014988193065,-0.3754286793309941,-0.11198227602795027,-0.00695376870039849,-0.2390292772811413,-0.483406557444897,-0.3889981070944186,-0.13353357775484515,-0.3353998144666589,-0.21885257699777147,-0.037113737475209865,-0.21590438653125874
12,-0.1917657840538413,-0.04994448614744836,-0.2298072364175452,-0.1115959333234333,-0.05505727495816865,-0.13459388022080454,-0.3699003703754591,-0.44661626041346825,-0.4361349160788874,-0.11498995608100684,-0.046398285253606036,-0.4400547188406329,-0.17201837114545454,-0.09319093401722793,-0.2317296928876197,-0.4742974196735062,-0.4052423975132232,-0.18538317871168566,-0.3753763375116117,-0.26071688643765645,-0.0751501792453274,-0.23333164282417207
13,-0.29716926332970184,-0.02553844772449195,-0.2151513764159468,-0.143677528985638,-0.04919781063784851,-0.15706668378390926,-0.3215089874454284,-0.3822590660558207,-0.21032279152902103,-0.12423235052933915,-0.0055696956840444204,-0.2817185011996093,-0.07826231676806962,-0.02118815673147353,-0.2543451179954391,-0.4115115345131594,-0.3826445548443339,-0.1943660422596322,-0.4031289937700082,-0.2697701346489979,0.007649068036961978,-0.20099906127690248
14,-0.3359648080795989,-0.013708766013354728,-0.2385519138423216,-0.11448322711126467,-0.05695301362432691,-0.0487047747050845,-0.3513866797658156,-0.3774093997412212,-0.2590103686565494,-0.13895545436109058,-0.06586833054540685,-0.4236120501378128,-0.13174897956407586,-0.04644828334054756,-0.20781385002226632,-0.4083072808432123,-0.419623356526308,-0.14810069036920445,-0.3642148981676817,-0.1551521869287481,-0.08841115229315699,-0.20925854593519283
15,-0.24520883275087396,-0.07138524674951098,-0.2109408244261068,-0.1066828344183293,-0.07603223352908066,-0.05895024863155327,-0.3549565469257782,-0.3822357496632837,-0.3760209714482487,-0.11916079509019055,-0.09919207530216342,-0.408985074675558,-0.12165776756996127,-0.08719638695574679,-0.18951297223153168,-0.41173720661919977,-0.3692544656723976,-0.21929409163611605,-0.41828462833533614,-0.09314463370332472,0.05576659351133961,-0.20781271394395015
16,-0.3255329671156004,-0.06494830912498528,-0.2364013545036873,-0.12144950223810708,-0.06543291667808677,-0.10644089371131764,-0.3346965148865739,-0.3104552017044773,-0.3810598075633173,-0.11480373571356085,-0.18652411143736844,-0.4105324773313016,-0.1035985431024262,-0.0022243641912704647,-0.28997348064880835,-0.5407008148055805,-0.3976801322645298,-0.2679785579454846,-0.4432049556839925,-0.1125115157424892,-0.007242668568143995,-0.22968537261719563
