,AVB_Anod_CONTROL_AveargeRunLogRTs,TXM_Anod_CONTROL_AveargeRunLogRTs,SRH_Anod_CONTROL_AveargeRunLogRTs,CRB_Anod_CONTROL_AveargeRunLogRTs,VXE_Anod_CONTROL_AveargeRunLogRTs,EGW_Anod_CONTROL_AveargeRunLogRTs,MTG_Anod_CONTROL_AveargeRunLogRTs,JEC_Anod_CONTROL_AveargeRunLogRTs,STF_Anod_CONTROL_AveargeRunLogRTs,MAM_Anod_CONTROL_AveargeRunLogRTs,DLC_Anod_CONTROL_AveargeRunLogRTs,JAF_Anod_CONTROL_AveargeRunLogRTs,VXP_Anod_CONTROL_AveargeRunLogRTs,AAF_Anod_CONTROL_AveargeRunLogRTs,LOW_Anod_CONTROL_AveargeRunLogRTs,JSH_Anod_CONTROL_AveargeRunLogRTs,FRF_Anod_CONTROL_AveargeRunLogRTs,IXD_Anod_CONTROL_AveargeRunLogRTs,RJO_Anod_CONTROL_AveargeRunLogRTs,DSL_Anod_CONTROL_AveargeRunLogRTs,RID_Anod_CONTROL_AveargeRunLogRTs,GroupAvgLogRT,GroupSEMLogRT
0,-0.0507441032478915,-0.066654120589306,0.0135206784568572,-0.0574830096989473,-0.0107198322756871,-0.0654442153258133,-0.0104111666252533,-0.0259226832160241,-0.0310978396325623,-0.0610750254873896,-0.0446074276677371,-0.0463896527252853,-0.0294992851470414,0.0062101116895067,0.0127583008972385,-0.053300884710685,-0.1229301930516409,-0.0607097077624656,0.0038245932261224,-0.1011950629900509,0.017083010049151,-0.03737083408737642,0.0078474224601657
1,-0.0713368046522018,-0.0670900739594248,-0.059826321481582,-0.0910092297368778,-0.0315951418878996,-0.0769029540200835,-0.0262829407631043,-0.0708149905851043,-0.0790989714522024,-0.0542813357703751,-0.0845969096804675,-0.0723670607482774,-0.0768392864980392,0.0763778912863713,-0.0247276806025865,-0.0239970165229232,-0.2655338021836906,-0.0939781133191387,-0.0117160811349777,-0.2738303389195275,-0.0924666796718374,-0.0748530401097119,0.015704222003591194
2,-0.1063517667025434,-0.1067255906059318,-0.0877593786401835,-0.0790216623634084,-0.0516217911936467,-0.1158614096411147,-0.0142862354742133,-0.0534306693031737,-0.0936496879587255,-0.071049406221064,-0.0902564550465149,-0.1148502757124048,-0.0779748199522178,0.0451793863869095,0.0075016325378655,-0.0014875860312892,-0.1323340397793295,-0.1123159090701007,-0.0372299516425068,-0.3542170480097563,-0.1337087888558877,-0.08483102158472561,0.01630793131524109
3,-0.1063272845334811,-0.1240060428604084,-0.1431771837886541,-0.0635558174361477,-0.0374985723727467,-0.1692088894892749,-0.0948438980943025,-0.0377282696408979,-0.1207148619774033,-0.053618685946225,-0.0660326337091659,-0.2264539358173213,-0.1165612158482822,-0.0511881306538328,-0.0397007373572481,0.0150317985968548,-0.2507076946064214,-0.119932538396739,-0.0216031187275858,-0.2953425016186335,-0.2009911951211389,-0.11067435282852645,0.01683126391146952
4,-0.0955138840964377,-0.1092006213882529,-0.167750285335625,-0.0670376075498277,-0.0812111828524498,-0.3273539130200811,0.0124381553875162,-0.0648077227566335,-0.1146076123855644,-0.0897026770008953,-0.0511129704388897,-0.2320159733249417,-0.0737045670964868,0.1087591997655082,0.0295293785889862,-0.0912553751826521,-0.2391012517474386,-0.1322348499424344,-0.0045545373412951,-0.3021445073301541,-0.258732898149152,-0.11196741443796199,0.02305263257050822
5,-0.0974474366456917,-0.1535195582359802,-0.18283459067275,-0.0768629231101888,-0.0798234512649234,-0.4281499293693396,0.0532272963265311,-0.0326334745683437,-0.1668565746559597,-0.093187809945791,-0.0216459406633079,-0.2653899409072165,-0.1372140397096631,0.071249168605378,0.1009861520680196,0.010409146268587,-0.1904105358145078,-0.2053220714642193,-0.0893782114415982,-0.2888562706238752,-0.3020306665079543,-0.12265198392060928,0.027632702105705738
6,-0.1016568579328788,-0.1133338369290368,-0.172543836555273,-0.0995788442803815,-0.0579208025661465,-0.3786151642231144,-0.0048160774525807,-0.051923275806558,-0.106217459054681,-0.0779925248128391,-0.0100536542339113,-0.2830781426032023,-0.1263990636530082,0.0646670688511904,0.0615923720613179,-0.0469326863532231,-0.209829486481469,-0.2097697710761212,-0.072403833823728,-0.2435634928922621,-0.3411270145636728,-0.12292839925626571,0.024953172867934525
7,-0.0762308244802343,-0.1238696854309802,-0.1934696025649549,-0.067941143811999,-0.0676282863111695,-0.2927116000640781,-0.0282381556224873,-0.0560230900388161,-0.1683376264920095,-0.1218596069188722,-0.0685485673755617,-0.2409869093264135,-0.0023786420955788,0.0823903163290808,-0.0561130667009203,-0.0043357419518576,-0.3041532402299811,-0.2714492942660564,-0.0273311662636597,-0.2927631248328958,-0.2401157897154026,-0.12486165943642133,0.023549745402812985
8,-0.0864757423229582,-0.1221802883182665,-0.2067181700954007,-0.0116863970356689,-0.0352631130294865,-0.2508542358640349,0.0040744760460779,-0.0520327240387955,-0.2368334446127373,-0.1388816915188345,-0.0590139442181027,-0.2409549461715661,-0.081690546625022,-0.0240773603646614,0.0268677652794703,-0.0204599496895777,-0.1733307551850032,-0.2453029530551704,-0.0410813464180701,-0.2448118877894171,-0.2403650926571777,-0.11814630227068587,0.02049007571466349
9,-0.1279547262015516,-0.1770762980475104,-0.3106277893713808,0.0100366012493089,-0.1009797893210182,-0.2551045634587051,-0.0095359936687391,-0.0664447189519083,-0.2852137219725949,-0.1358470831130342,-0.0217063966074658,-0.2878170320812336,-0.0738494073709291,0.0155795011843517,-0.0545321445519996,0.0116495861173194,-0.2761870180286725,-0.2598650922544891,-0.0260769488550753,-0.2198547127608223,-0.218408530154871,-0.1366579180105248,0.023920924652165408
