,EGW_Sham_CONTROL_AveargeRunLogRTs,MTG_Sham_CONTROL_AveargeRunLogRTs,VXE_Sham_CONTROL_AveargeRunLogRTs,SRH_Sham_CONTROL_AveargeRunLogRTs,TXM_Sham_CONTROL_AveargeRunLogRTs,CRB_Sham_CONTROL_AveargeRunLogRTs,AVB_Sham_CONTROL_AveargeRunLogRTs,JAF_Sham_CONTROL_AveargeRunLogRTs,DLC_Sham_CONTROL_AveargeRunLogRTs,MAM_Sham_CONTROL_AveargeRunLogRTs,STF_Sham_CONTROL_AveargeRunLogRTs,JEC_Sham_CONTROL_AveargeRunLogRTs,FRF_Sham_CONTROL_AveargeRunLogRTs,JSH_Sham_CONTROL_AveargeRunLogRTs,LOW_Sham_CONTROL_AveargeRunLogRTs,AAF_Sham_CONTROL_AveargeRunLogRTs,VXP_Sham_CONTROL_AveargeRunLogRTs,RID_Sham_CONTROL_AveargeRunLogRTs,DSL_Sham_CONTROL_AveargeRunLogRTs,IXD_Sham_CONTROL_AveargeRunLogRTs,RJO_Sham_CONTROL_AveargeRunLogRTs,GroupAvgLogRT
0,-0.019586149118534648,-0.04932655320966959,-0.009749330104995504,-0.004073010029448733,-0.003780188239952143,-0.04065959569335035,0.012595111982027613,0.031643544924604555,0.06019947094679628,-0.03800843186684925,0.01098237329782072,-0.0024011041202220717,-0.0335703251683014,-0.02078165965753528,-0.08331041538061694,0.0857358392067822,0.07265189107534603,-0.004059922899027052,0.036658751456178335,-0.014331652244494043,-0.10110171976912408,-0.00544157498155073
1,-0.022212234867943853,-0.03650866017367538,-0.03198740992027788,-0.2157715099248072,-0.043171071845515344,-0.08179958839782939,0.027163998849995333,-0.04790634389960111,0.043856595633390866,-0.08354991688674336,-0.051386741586633235,-0.03215511802534725,-0.07201761850673832,-0.05895770842721621,-0.009109180688806564,0.04846502278596457,-0.013554700970166528,-0.012993466011910136,-0.02693506912757506,-0.08595317153127056,-0.2298342995529706,-0.04934848538455605
2,-0.027999251754930118,0.004884511236211735,-0.019447424419692612,-0.3393621899657571,-0.061000060897844585,-0.020243483041104602,-0.032100023095998666,-0.09201515661125556,-0.015995819696658992,-0.10408530193002632,-0.05417620707993623,-0.03601027458993309,-0.2405821045963969,-0.06527502939948192,0.03710866883766726,0.0497291258854896,-0.04376435211812122,0.0053481496901409435,-0.034259835336479375,-0.1251178552092787,-0.25927677812534283,-0.07017336629612998
3,0.006406020283810471,0.02757981591735781,-0.007119588637164004,-0.4112840670299491,-0.06006929497241788,-0.0673383848889595,-0.07148453692741259,-0.16893300004075587,-0.034483133600493585,-0.10608845382768016,-0.07637626538055166,-0.07465204006931231,-0.268300551853475,-0.06278729225648008,0.01970966698445853,0.03734434398785775,-0.08687125459322596,-0.040158920813031566,-0.08241980500894253,-0.12975709843319758,-0.29781050577604395,-0.09309020699693374
4,-0.04401837703128589,-0.015870854395976842,-0.048667651246008484,-0.3622126231346802,-0.07564863181173112,-0.03603329505476351,-0.016172687168840686,-0.2792575179361113,-0.0441091031310343,-0.0951310615045225,-0.11349693142902552,-0.04836696343806767,-0.30826010992470976,-0.0768162344372998,0.04795875746145918,0.02538022681022084,-0.06827113702209704,-0.15058183128758876,-0.06910323970988569,-0.1205417077100275,-0.3567286816428929,-0.10742617403546996
5,-0.025262157059357124,0.042138673499600224,-0.051949217762298425,-0.3828009793515052,-0.10510503425197733,-0.06281522414105874,-0.002551038436772482,-0.32032952435746376,-0.10838965707220938,-0.1029428875802756,-0.1016028897886216,-0.04296624801734054,-0.12347447404645505,-0.06733844429615937,0.025281941340150573,0.04007643840877269,-0.04721218325438604,-0.21288809192003452,-0.06581222619554374,-0.13923012206877367,-0.3238063413805422,-0.1037609375110596
6,-0.03276466777685005,-0.010078496017098785,-0.0984483292521542,-0.3973339516267036,-0.06910312934950424,-0.06704898489108434,-0.0347684442293884,-0.27705358131266,-0.10388663161585113,-0.12054134187746347,-0.12621890904054495,-0.03409371868354556,-0.10060115184276362,-0.055815243857749115,0.00260172205463391,0.05497948936195443,-0.07805623360597001,-0.2073314595486532,-0.046391820462834236,-0.2391442002301206,-0.3384573406203293,-0.11331221068688954
7,-0.03315036352592888,0.02153787361343989,-0.1393387226244102,-0.3566576115507759,-0.11048301478673153,-0.06745608529736598,-0.02195935530154556,-0.29614364589136793,-0.06082704048661705,-0.1375621548906384,-0.1709863366514276,-0.017492081637196292,-0.3029458440155727,-0.08136594866137953,-0.010756534039851226,0.017766653907807545,-0.06716439742726618,-0.20478792130021192,-0.07598799799688011,-0.2621032790412108,-0.33437110776659873,-0.12915404358913
8,-0.056845619390892825,0.0434941511436908,-0.18227391524365047,-0.3919722854661807,0.019111542696260298,-0.05731658692639124,0.029702207074745732,-0.15145958232283085,-0.035982548362730966,-0.05362230162659946,-0.1497281491426836,-0.034502648180171486,-0.06796748721590515,-0.04202863587499193,-0.027681282317896863,0.03920495030540135,-0.043615794153139716,0.0142567213225634,-0.04972766349798823,-0.0631993360580979,-0.3081785901464024,-0.07477775492304248
9,-0.020809796664576653,0.04446544122639244,-0.2690780394874413,-0.40054929803321904,-0.050329488944945926,-0.02727531890111556,0.007496034137511028,-0.2686216657367347,-0.043527179885283006,-0.1282434712117269,-0.20054067121212146,-0.03245792646961529,-0.1686056772363243,-0.029180589348600138,-0.0017850649299353102,0.06006433600397669,-0.045787058359122175,-0.015745524424078578,-0.0716673905096568,-0.1094121188209264,-0.272175442530812,-0.09732218625420738
