,MAM_Vertex_CONTROL_AveargeRunLogRTs,STF_Vertex_CONTROL_AveargeRunLogRTs,JEC_Vertex_CONTROL_AveargeRunLogRTs,VXE_Vertex_CONTROL_AveargeRunLogRTs,LOW_Vertex_CONTROL_AveargeRunLogRTs,DLC_Vertex_CONTROL_AveargeRunLogRTs,AAF_Vertex_CONTROL_AveargeRunLogRTs,CRB_Vertex_CONTROL_AveargeRunLogRTs,FRF_Vertex_CONTROL_AveargeRunLogRTs,TXM_Vertex_CONTROL_AveargeRunLogRTs,SRH_Vertex_CONTROL_AveargeRunLogRTs,VXP_Vertex_CONTROL_AveargeRunLogRTs,JSH_Vertex_CONTROL_AveargeRunLogRTs,MTG_Vertex_CONTROL_AveargeRunLogRTs,AVB_Vertex_CONTROL_AveargeRunLogRTs,RID_Vertex_CONTROL_AveargeRunLogRTs,DSL_Vertex_CONTROL_AveargeRunLogRTs,JAF_Vertex_CONTROL_AveargeRunLogRTs,RJO_Vertex_CONTROL_AveargeRunLogRTs,GroupAvgLogRT
0,-0.0070917239375118,-0.0125705273596202,-0.0350404357695663,-0.0088289686061619,-0.0292461587772372,-0.0578717501735208,0.0621601352233223,-0.0292577359224113,-0.0411304180655154,-0.0586772747427518,-0.0174436433673758,-0.0290432495975489,-0.0586775586776223,-0.0133483867771942,-0.02017377745537,-0.1887186425442315,-0.0766095665347372,-0.1823460664472862,-0.0961060929343428,-0.047369570656141224
1,-0.1108264867746525,-0.0300403743231117,-0.0717236984669476,-0.0657570889272401,-0.0474741379672469,0.0038077939611847,0.0438900129275631,-0.0356492751390683,-0.0741065857313833,-0.0833642306704372,-0.041581929220232,0.0103309319360912,-0.0906795380971577,-0.011255775625376,-0.0340910846753873,-0.1914852283310758,-0.1339916895069282,-0.3157852159440175,-0.1939265515860629,-0.07756369221902558
2,-0.1077984902517189,-0.0527078636414368,-0.0319315893451225,-0.0504978208775688,-0.0511264915906031,-0.0094896618871785,0.0663654912265187,-0.0566765521898652,0.0218986087437491,-0.0755525860923166,-0.066153059781391,-0.0421029856188043,-0.0669063910043483,0.0109129631611924,-0.1614854691625115,-0.1924088901103551,-0.1683006990881926,-0.3130282590681588,-0.2100413819837133,-0.08194900676641184
3,-0.113416258985226,-0.0958284949708538,-0.0556976455753903,-0.0388933973374155,-0.1018047347019245,-0.0306388219141879,0.0506488426960796,-0.0619748253917974,-0.0813176786551886,-0.1087539688109534,-0.1205883512934925,-0.0744257733424114,-0.0621702791909962,0.0038354630730218,-0.2368412640524732,-0.2268424398177227,-0.1970837603169223,-0.3377438837349347,-0.2650335211941308,-0.11339846281667997
4,-0.1714650212705748,-0.0623800808872272,-0.0399393279090775,-0.0258425275734968,-0.1214261710264386,-0.031835879363644,0.0341699741738079,-0.0760478213072951,-0.0700878627975468,-0.113514105196115,-0.1335621496663245,-0.0968587214421706,-0.0643165243845312,-0.0339732443006486,-0.2272224427971692,-0.2021099257252261,-0.2042345081467587,-0.380743849274243,-0.2765121345475901,-0.12094222754959316
5,-0.123301416310936,-0.1041901403570159,-0.0282321336211863,-0.0469351806337566,-0.1917268426196666,-0.0262750407129869,0.029458504246026,-0.0602602037529846,-0.0715405929416336,-0.1370118244767768,-0.1452797624409868,-0.085030910194299,-0.1103416867554293,-0.060319821315113,-0.1211885780502656,-0.3010461644492516,-0.2160984162941982,-0.3720736480556407,-0.2820103058263434,-0.1291265349769708
6,-0.1716751768891904,-0.1125346078893858,-0.0965752094881406,-0.0275907218837325,-0.2136552454221304,0.0273680126788364,0.0572429921312213,-0.0486429775595901,-0.0207928320262334,-0.1874554915113775,-0.157720872760617,-0.1085538543622192,-0.0852056176504954,0.0089449813618156,-0.2321576726846045,-0.3032240523744745,-0.2413418385485189,-0.3741037636491759,-0.3602095711214135,-0.13936229050786456
7,-0.1816842549444235,-0.1285233671944712,-0.1219854009556661,-0.0198319756807548,-0.2031976835788465,0.02347677567458,0.0569479972107388,-0.0678829821689902,0.0755508167933168,-0.1966720126791604,-0.2254706034851258,-0.0767404286936103,-0.0796524667913692,0.006761107355556,-0.1288594261769403,-0.2586048040558272,-0.2590188360322195,-0.3296026893861082,-0.2532515195673193,-0.12464430286087581
8,-0.1533021062337643,-0.1513755782057157,-0.1218085043125542,0.0197689384658539,-0.180677996565315,-0.0011843918060861,0.0108932101359647,-0.0042892575826522,0.0202193119706248,-0.1240295092645509,-0.1825294892666875,-0.0354869872112984,-0.0563235478559165,0.0231997272890808,-0.0856837142501233,-0.3201982200424014,-0.2461383926627834,-0.3678468039984507,-0.2439800085461441,-0.11583017473383785
9,-0.1629438199660663,-0.1234242600486351,-0.1094502006581429,-0.035282276564338,-0.1357161161233641,-0.0132881334285258,0.0389785256193078,-0.0506389593187281,-0.1031628674430633,-0.1756793419359903,-0.2912049193572296,-0.04215204213788,-0.0824497330353944,-0.0840602566469047,-0.1179754185380954,-0.3264384385238229,-0.2601166916591239,-0.3768577248638816,-0.331984842922509,-0.14651829039749406
