,RUN,MAM_Vertex_CONTROL_AveargeRunLogRTs,STF_Vertex_CONTROL_AveargeRunLogRTs,JEC_Vertex_CONTROL_AveargeRunLogRTs,VXE_Vertex_CONTROL_AveargeRunLogRTs,LOW_Vertex_CONTROL_AveargeRunLogRTs,DLC_Vertex_CONTROL_AveargeRunLogRTs,AAF_Vertex_CONTROL_AveargeRunLogRTs,CRB_Vertex_CONTROL_AveargeRunLogRTs,FRF_Vertex_CONTROL_AveargeRunLogRTs,TXM_Vertex_CONTROL_AveargeRunLogRTs,SRH_Vertex_CONTROL_AveargeRunLogRTs,VXP_Vertex_CONTROL_AveargeRunLogRTs,JSH_Vertex_CONTROL_AveargeRunLogRTs,MTG_Vertex_CONTROL_AveargeRunLogRTs,AVB_Vertex_CONTROL_AveargeRunLogRTs,RID_Vertex_CONTROL_AveargeRunLogRTs,DSL_Vertex_CONTROL_AveargeRunLogRTs,JAF_Vertex_CONTROL_AveargeRunLogRTs,RJO_Vertex_CONTROL_AveargeRunLogRTs,GroupAvgPercentFast
0,Run2,0.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,2.3255813953488373,0.0,0.0,2.083333333333333,0.0,0.0,0.0,27.5,3.508771929824561,38.27160493827161,14.0625,4.719729922097645
1,Run3,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272727272727273,1.6666666666666667,2.9411764705882355,0.0,0.0,0.0,6.382978723404255,28.205128205128204,12.698412698412698,71.71717171717172,32.0,8.767363890948005
2,Run4,13.432835820895525,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,5.714285714285714,0.0,0.0,0.0,29.82456140350877,16.25,22.727272727272727,70.10309278350516,37.66233766233766,10.451133103628864
3,Run5,10.76923076923077,5.555555555555555,0.0,0.0,4.761904761904762,3.125,0.0,0.0,2.0408163265306123,3.1746031746031744,12.987012987012989,0.0,0.0,0.0,37.87878787878788,35.714285714285715,27.142857142857142,71.71717171717172,32.432432432432435,13.015771497914356
4,Run6,30.303030303030305,1.4705882352941178,0.0,0.0,14.285714285714286,0.0,2.7777777777777777,0.0,0.0,1.5625,16.455696202531644,0.0,0.0,0.0,52.38095238095238,35.44303797468354,36.231884057971016,79.79797979797979,30.76923076923077,15.867283778166613
5,Run7,24.193548387096776,8.219178082191782,0.0,0.0,29.166666666666668,0.0,5.128205128205129,0.0,2.2222222222222223,7.6923076923076925,21.25,0.0,1.7543859649122806,0.0,29.26829268292683,69.47368421052632,38.0281690140845,84.61538461538461,34.5679012345679,18.714733994794354
6,Run8,35.61643835616438,5.405405405405405,3.389830508474576,0.0,37.333333333333336,0.0,0.0,0.0,0.0,28.169014084507044,23.170731707317078,0.0,0.0,0.0,44.89795918367347,76.84210526315789,45.94594594594594,85.04672897196262,47.72727272727273,22.81814555195866
7,Run9,42.85714285714285,6.578947368421052,9.836065573770492,0.0,31.944444444444443,0.0,0.0,0.0,0.0,37.5,43.95604395604396,0.0,0.0,0.0,23.63636363636364,59.09090909090909,49.35064935064935,73.07692307692308,36.0,21.78039417656147
8,Run11,22.22222222222222,12.658227848101266,10.0,0.0,25.714285714285715,0.0,0.0,0.0,0.0,10.76923076923077,27.058823529411764,0.0,0.0,0.0,13.043478260869565,80.41237113402062,43.42105263157895,78.78787878787878,34.666666666666664,18.88180197706665
9,Run12,24.65753424657534,8.0,8.333333333333334,0.0,21.875,0.0,0.0,0.0,12.82051282051282,22.857142857142858,67.01030927835052,0.0,0.0,0.0,25.49019607843137,81.44329896907216,44.15584415584416,83.80952380952381,53.57142857142857,23.89600653264289
