,RUN,EGW_Sham_CONTROL_AveargeRunLogRTs,MTG_Sham_CONTROL_AveargeRunLogRTs,VXE_Sham_CONTROL_AveargeRunLogRTs,SRH_Sham_CONTROL_AveargeRunLogRTs,TXM_Sham_CONTROL_AveargeRunLogRTs,CRB_Sham_CONTROL_AveargeRunLogRTs,AVB_Sham_CONTROL_AveargeRunLogRTs,JAF_Sham_CONTROL_AveargeRunLogRTs,DLC_Sham_CONTROL_AveargeRunLogRTs,MAM_Sham_CONTROL_AveargeRunLogRTs,STF_Sham_CONTROL_AveargeRunLogRTs,JEC_Sham_CONTROL_AveargeRunLogRTs,FRF_Sham_CONTROL_AveargeRunLogRTs,JSH_Sham_CONTROL_AveargeRunLogRTs,LOW_Sham_CONTROL_AveargeRunLogRTs,AAF_Sham_CONTROL_AveargeRunLogRTs,VXP_Sham_CONTROL_AveargeRunLogRTs,RID_Sham_CONTROL_AveargeRunLogRTs,DSL_Sham_CONTROL_AveargeRunLogRTs,IXD_Sham_CONTROL_AveargeRunLogRTs,RJO_Sham_CONTROL_AveargeRunLogRTs,GroupAvgPercentFast
0,Run2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.311475409836067,1.014832162373146
1,Run3,0.0,0.0,0.0,38.70967741935484,0.0,0.0,0.0,3.0303030303030303,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,41.55844155844156,4.194606117129159
2,Run4,0.0,0.0,0.0,65.65656565656566,0.0,0.0,0.0,11.267605633802816,0.0,3.0303030303030303,0.0,0.0,43.03797468354431,0.0,0.0,0.0,0.0,0.0,0.0,2.898550724637681,53.16455696202532,8.526455080518039
3,Run5,0.0,2.631578947368421,5.555555555555555,84.76190476190476,0.0,0.0,5.882352941176471,26.25,2.0408163265306123,1.5151515151515151,0.0,0.0,56.09756097560975,0.0,0.0,2.9411764705882355,1.818181818181818,0.0,0.0,7.142857142857143,67.44186046511628,12.57519032952574
4,Run6,0.0,0.0,7.142857142857143,76.47058823529412,0.0,0.0,0.0,57.89473684210526,2.0408163265306123,12.5,5.194805194805195,0.0,65.9090909090909,0.0,0.0,0.0,0.0,11.267605633802816,3.636363636363636,2.9411764705882355,75.53191489361703,15.263331204050235
5,Run7,0.0,0.0,12.5,79.04761904761905,0.0,0.0,2.272727272727273,73.73737373737374,8.928571428571429,6.0606060606060606,1.3157894736842106,0.0,20.3125,0.0,0.0,2.702702702702702,0.0,26.923076923076923,0.0,11.428571428571429,66.66666666666667,14.852200225790451
6,Run8,0.0,0.0,15.254237288135592,83.17757009345794,0.0,0.0,0.0,61.29032258064516,12.727272727272728,18.181818181818183,10.126582278481012,0.0,1.6129032258064515,0.0,0.0,2.9411764705882355,0.0,26.923076923076923,1.851851851851852,34.93975903614458,70.11494252873563,16.14959586600068
7,Run9,0.0,0.0,19.047619047619047,75.0,6.349206349206349,2.083333333333333,2.127659574468085,67.02127659574468,10.0,15.942028985507246,16.666666666666668,0.0,69.41176470588235,0.0,0.0,6.25,0.0,14.102564102564102,0.0,61.90476190476191,74.44444444444444,20.96911074810468
8,Run11,0.0,0.0,21.12676056338028,75.78947368421052,0.0,0.0,0.0,23.376623376623375,0.0,1.6666666666666667,9.75609756097561,0.0,6.779661016949152,0.0,0.0,2.857142857142857,0.0,0.0,0.0,3.225806451612903,55.81395348837209,9.542485031711118
9,Run12,0.0,0.0,43.75,80.95238095238095,0.0,0.0,0.0,64.8936170212766,0.0,14.92537313432836,28.08988764044944,0.0,26.47058823529412,0.0,0.0,0.0,0.0,0.0,0.0,1.492537313432836,45.45454545454545,14.57280617865275
10,Run14,0.0,0.0,28.571428571428573,77.17391304347827,0.0,0.0,0.0,44.31818181818182,0.0,6.25,15.662650602409638,0.0,46.75324675324676,0.0,0.0,5.405405405405405,0.0,0.0,0.0,0.0,48.14814814814815,12.96585592106184
11,Run15,0.0,0.0,57.64705882352941,77.06422018348624,0.0,1.96078431372549,0.0,86.86868686868686,0.0,9.836065573770492,49.48453608247423,0.0,21.12676056338028,0.0,0.0,2.272727272727273,0.0,0.0,9.836065573770492,52.27272727272727,42.028985507246375,19.542791335024972
